PC1,PC2,label
-2.7581491087036256,-1.5927847388901346,control
-2.3824460126778337,-0.9521550004808659,control
-2.898248697749421,-1.0743915306638923,control
-2.6001927254138235,-0.8699219806171952,control
-2.63882712042255,-1.0718439185044546,control
-2.4846636076674056,-0.9989221941452493,control
-2.8336431321643114,-1.0959339535384889,control
-2.323076638045313,-0.8247511002053314,control
-2.539793932143245,-1.2066504648440644,control
-2.318821208775704,-0.4291478576904436,control
-2.3973779144203857,-1.5123083688430528,control
-2.315662059585011,-0.8598021222371349,control
-2.360553856666646,-0.9961373150921456,control
-3.017580315920848,-1.3477282619082553,control
-2.2962742659200424,-0.4564205411902716,control
-2.4143519819999253,-1.0383212716466554,control
-2.3042255412626833,-1.296315116402653,control
-2.7670458460316674,-0.8696545800839874,control
-2.447210475774888,-1.3478583688893355,control
-2.863941675085744,-1.7679003344995168,control
-2.3742583790288063,-0.9541079981421697,control
-2.65211072677989,-1.5523816965913393,control
-2.4030041579469406,-0.6140023948340266,control
-2.5116018560490843,-1.2419718359265328,control
-2.9032351319274854,-2.443781563517761,control
-2.9514131075824697,-2.572636290049637,control
-2.336767651921552,-1.3238915047658792,control
-2.455293515224834,-0.6326810797661677,control
-2.034074279324788,-1.0026625997696743,control
-2.8628747001204093,-1.0849124554092777,control
-2.9392821031573857,-1.8983827181861275,control
-3.3372513020260763,-2.6577320823882875,control
-2.52097308770212,-0.9914217228916395,control
-2.754160358406624,-1.0972215880113283,control
-3.3924055174803396,-0.9409688684555496,control
-2.8468726039518937,-0.27595312802206984,control
-2.083228419017123,-0.5481181826204597,control
-2.4756388238830627,-1.0034757653716422,control
-2.749234596228354,-1.1761889278563906,control
-2.4736905842900017,-0.8427868466438423,control
-2.316246483420704,-0.8113381141632359,control
-2.4734370762835334,-0.6852663400165103,control
-2.4913821125310807,-0.2337830732612026,control
-2.9389401475551047,-1.0475342827473273,control
-2.801950224208695,-1.1621991507731961,control
-2.0214213962020455,-0.7558986201862242,control
-2.5583963586949645,-1.7869200651490276,control
-2.399702521510833,-0.8111535226038747,control
-2.237057106619481,-1.178983004850237,control
-2.426295200873517,-0.6646367928134499,control
-2.9596050485368814,0.26096690172168296,control
-2.5116460702083487,-0.29818026953615556,control
-2.235413168353473,-0.591635959569182,control
-3.0747020978744426,-0.9365270492678242,control
-3.023719987529688,-1.2369398146777697,control
-2.425900935054722,-0.5324583418081682,control
-2.740773300902138,-1.8011011220469944,control
-2.3094279598954284,-1.2804946559391623,control
-2.313032934761854,-0.5247677139267188,control
-2.425173088568084,-0.960018439358659,control
-3.0054372914314027,-2.0380694145799216,control
-2.544341850046458,-0.9718599210753646,control
-2.4220240938870234,-0.5734572517247477,control
-2.1915662872691026,-0.5942305874727455,control
-2.424234266955701,-1.0608804041573041,control
-3.016204429321308,-2.023204671185186,control
-2.6808030187919094,-0.7381832063380365,control
-2.5613312274485005,0.28981472936958214,control
-2.7891955711784275,-0.3861545565152273,control
-2.2661395358318575,-0.6113763917192222,control
-2.5106753406495157,-0.9399527642512151,control
-3.0747931602833383,-1.5996385072315626,control
-2.4080338996941943,-1.0111008026420314,control
-2.7765126859624867,-0.9575573987210193,control
-2.466486129901885,-0.7909995594922127,control
-2.5642373107925525,-0.835147743319114,control
-2.2389965655358197,-0.4014638843958701,control
-2.428892422216883,-0.9833399598436768,control
-2.468837962639528,-0.8111667320101016,control
-3.23732647148903,-1.8656074380392118,control
-2.4568302297102447,-0.812643031303849,control
-2.588374894393408,-0.9064792972695614,control
-2.3744539606590127,-0.8791640486940113,control
-2.519697037658835,-0.9731363711822871,control
-2.578961420454549,-0.8192119355511712,control
-2.6707264408490556,-1.3998176701094627,control
-2.7701695489080977,-1.3268350725124443,control
-2.5149446763714094,-1.4388245249001668,control
-2.4651226582216057,-0.5224444349533581,control
-2.1544422100711516,-0.8581803500909745,control
-2.1288256153658933,-0.7601263725669326,control
-2.1628322894901273,-0.768260765496935,control
-2.4437927203753067,-0.9742040033756841,control
-2.302201652837045,-0.7682618661776579,control
-2.4211540481230536,-1.2268610908912538,control
-2.3588186878841464,-1.0912435756408305,control
-2.5070489376939022,-0.7392735151420858,control
-2.05713945193243,-0.4825074375155092,control
-2.487811713761106,-0.6475767925648938,control
-2.6176398318838716,-1.0123844366626356,control
-2.3632725106152384,-0.8227867189348649,control
-2.15956089370215,-0.9158078695391053,control
-2.5809330267379234,-0.6899771492033914,control
-2.376042450211341,-0.686666541407666,control
-2.6322867346447025,-0.7267699763402553,control
-2.2385198988060067,-1.1585276192201974,control
-2.4429843091293164,-1.163545108563272,control
-2.2748758186796607,-0.8111935554006117,control
-2.256519776917119,-0.4836835880892693,control
-2.290994151777649,-0.8624906334590333,control
-3.2150431883482518,-1.0469308567828386,control
-2.5509932731380824,-1.277946858192761,control
-2.373921889029331,-0.7936633229384077,control
-2.7909639121544783,-0.8488948955021594,control
-2.221513474297882,-1.3528609211676887,control
-2.5641184318943706,-0.6624717160187846,control
-3.083997676226591,-0.971553686361211,control
-2.6357926025818164,-1.3806141553145754,control
-2.4708826681878735,-1.3594805526040201,control
