TSNE1,TSNE2,label
-9.763153,9.099883,control
-11.641102,17.711245,control
-7.307401,11.481292,control
-12.943763,15.736492,control
-10.257236,14.034465,control
-15.976609,19.01886,control
-10.489328,13.537898,control
-15.975672,18.548227,control
-14.596864,16.685513,control
-6.9235606,22.00465,control
-14.132089,15.91201,control
-11.529711,14.26214,control
-9.328539,16.168777,control
-10.642064,8.849588,control
-13.030918,20.249142,control
-17.451925,19.371199,control
-14.758281,16.787182,control
-9.834609,12.785938,control
-12.713996,13.642826,control
-8.925736,8.005468,control
-17.016178,20.621035,control
-13.958903,14.28747,control
-15.179383,22.103151,control
-14.207184,17.648094,control
-10.747467,9.220633,control
-12.479411,7.433193,control
-14.30348,15.673855,control
-16.191904,21.44425,control
-17.35962,20.768518,control
-8.6446495,12.271367,control
-9.436188,8.832142,control
-9.300573,6.307576,control
-15.371433,18.419207,control
-10.366908,14.94002,control
-5.969106,9.020891,control
-2.8361156,19.57088,control
-17.728857,23.8369,control
-13.94381,15.225908,control
-14.279373,16.779266,control
-13.421807,17.019436,control
-14.894878,19.965012,control
-10.30744,14.25643,control
-3.7502947,20.22036,control
-14.724501,13.974699,control
-11.680716,13.076299,control
-15.829935,22.424528,control
-14.891406,16.753372,control
-14.456341,18.495787,control
-18.369896,20.295315,control
-18.660496,20.448837,control
15.8520975,15.224229,control
-0.41950208,21.48166,control
-17.227802,22.395008,control
-3.63702,10.3371315,control
3.2032063,17.138247,control
-17.635138,15.447726,control
-11.711836,10.819344,control
-14.895769,17.186533,control
-8.86773,20.491669,control
-15.914502,16.520153,control
-8.805503,7.199562,control
-12.901702,16.322224,control
-10.4386,18.977568,control
-17.150564,23.08756,control
-15.20532,17.400297,control
-9.227485,8.941269,control
-10.294998,18.50787,control
3.2440584,32.152744,control
-6.122717,21.473755,control
-16.700788,23.15574,control
-13.294879,16.860743,control
-7.2816195,8.606073,control
-15.186534,17.461727,control
-10.730201,12.059502,control
-16.400421,22.053885,control
-16.370472,20.032324,control
-10.037738,29.409134,control
-12.743283,15.303153,control
-17.296844,16.281248,control
-8.1990595,8.152122,control
-9.006512,18.640085,control
-13.9776535,19.240374,control
-13.664077,15.989936,control
-17.296574,18.224781,control
-13.767242,17.462023,control
-14.595577,14.721557,control
-11.573343,13.613796,control
-14.929359,16.94841,control
-10.045872,20.397419,control
-17.499716,22.365137,control
-18.718647,20.750895,control
-15.630179,17.747908,control
-14.476583,17.603003,control
-18.101896,19.415867,control
-17.883125,20.961426,control
-15.298699,17.388323,control
-15.945105,21.22517,control
-19.37748,20.594519,control
-15.781529,22.083315,control
-12.593856,13.662053,control
-16.110556,20.544315,control
-17.49981,22.511234,control
-11.26445,17.978153,control
-17.28037,19.970123,control
-8.093509,16.48657,control
-15.391827,18.67877,control
-13.9003725,15.892564,control
-17.347418,20.388868,control
-12.648547,21.913435,control
-16.992886,20.451157,control
-14.203815,12.583882,control
-14.719091,17.025644,control
-14.822782,19.760382,control
-10.252714,15.870736,control
-17.346445,18.621346,control
-8.798164,17.89518,control
-17.205288,14.688982,control
-12.706196,12.965401,control
-13.17335,14.382431,control
-7.873277,20.484241,control
-16.020658,20.079168,control
-14.200344,20.776115,control
-10.552212,9.959735,control
-14.466945,17.629211,control
-14.966289,19.807203,control
-24.066982,22.33389,control
-12.472874,19.226095,control
-16.656643,18.606874,control
-13.147191,18.190649,control
-16.090645,22.9071,control
-17.070988,20.53682,control
-12.709961,14.309389,control
-17.883667,22.09256,control
-1.4387854,18.849783,control
-7.7201715,20.427465,control
-6.004758,12.097722,control
-16.757156,16.0271,control
-12.96572,16.286642,control
-10.529307,14.207744,control
-15.212023,19.828598,control
-15.115691,17.754951,control
-18.048094,21.188105,control
-9.348493,9.723522,control
-7.219977,21.322533,control
-17.342073,23.3103,control
-11.709621,18.397194,control
4.4528494,14.289953,control
-21.496403,20.875254,control
-13.570631,17.455523,control
-23.423666,22.07725,control
1.7174664,32.262867,control
-16.301733,20.13704,control
-17.05336,20.20878,control
-24.099047,20.007496,control
-16.446268,16.069704,control
-14.14308,17.28981,control
-10.173469,15.779607,control
-13.488058,14.196071,control
-10.7656975,9.889163,control
-23.149967,22.139257,control
-16.191803,20.034416,control
-8.534975,19.953934,control
-17.315126,21.371758,control
-9.171661,9.26664,control
-18.332771,20.534302,control
-9.062727,21.524046,control
-9.751701,13.658758,control
-15.939373,18.428991,control
-13.953582,16.02336,control
-16.534405,18.37319,control
-17.500948,15.066112,control
-23.702148,22.09366,control
-17.504353,20.600008,control
-17.039955,21.448133,control
-18.733576,20.760641,control
-12.345205,10.993812,control
-17.946703,22.920465,control
-14.661517,20.394928,control
-7.9351363,11.863129,control
-8.395071,6.4606533,control
-15.664831,15.99897,control
-16.767649,16.486982,control
-15.552704,17.878141,control
-12.022408,30.49248,control
-10.039016,7.8858256,control
-18.2791,20.348068,control
-14.875271,18.86436,control
-18.55747,21.5679,control
-19.797329,20.669384,control
-18.620163,20.53392,control
-8.185634,7.105125,control
